Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;UPC9535880;38:43:7D:90:F8:28;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;1;0;1;0;0;1;;;Sat Dec  7 21:03:40 2019;Sat Dec  7 21:03:51 2019;-72;0;0;51.280220;7.228080;0.588000;263.099609;51.280273;7.228197;0.968000;263.099609;51.280220;7.228197;0.968000;0;0;0.0.0.0;
28;infrastructure;EasyBox-FCFD61;88:03:55:FC:FD:AD;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Sat Dec  7 21:00:53 2019;Sat Dec  7 21:02:43 2019;-66;0;0;51.279053;7.228039;0.181000;16.028999;51.279842;7.228526;1.430000;16.028999;51.279053;7.228039;1.430000;0;0;0.0.0.0;
29;infrastructure;Gastzugang;A8:D3:F7:DB:29:97;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Sat Dec  7 21:01:11 2019;Sat Dec  7 21:02:43 2019;-69;0;0;51.279213;7.228099;0.382000;33.389999;51.279823;7.228526;1.359000;33.389999;51.279213;7.228099;1.359000;0;0;0.0.0.0;
30;infrastructure;EasyBox-DB2918;A8:D3:F7:DB:29:96;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:01:10 2019;Sat Dec  7 21:02:35 2019;-67;0;0;51.279213;7.228099;0.181000;39.480000;51.279842;7.228507;1.363000;39.480000;51.279213;7.228099;1.363000;0;0;0.0.0.0;
31;infrastructure;;7C:FF:4D:88:19:3D;;9;No;WPA,None;No;-1.0;0;0;0;4;0;0;4;;;Sat Dec  7 20:58:51 2019;Sat Dec  7 21:02:30 2019;-76;0;0;51.278503;7.228471;0.501000;0.000000;51.279858;7.229118;1.411000;0.000000;51.278503;7.229118;1.123000;0;0;0.0.0.0;
32;infrastructure;JabbasPalast;C0:4A:00:CB:7D:D4;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Sat Dec  7 20:58:55 2019;Sat Dec  7 21:02:36 2019;-77;0;0;51.278545;7.228390;0.186000;351.839996;51.279842;7.229120;1.282000;351.839996;51.278545;7.229120;1.186000;0;0;0.0.0.0;
33;infrastructure;TP-LINK_0B161A;C0:25:E9:0B:16:1A;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:02:07 2019;Sat Dec  7 21:02:30 2019;-81;0;0;51.279720;7.228390;0.501000;22.878599;51.279850;7.228476;1.282000;22.878599;51.279720;7.228390;1.282000;0;0;0.0.0.0;
34;infrastructure;wi-fi w domku;4C:09:D4:C6:58:2E;;1;No;WPA2,AES-CCM;No;54.0;0;1;0;1;0;0;1;;;Sat Dec  7 21:01:10 2019;Sat Dec  7 21:01:10 2019;-78;0;0;51.279213;7.228099;1.363000;39.480000;51.279213;7.228099;1.363000;39.480000;51.279213;7.228099;1.363000;0;0;0.0.0.0;
35;infrastructure;eufy RoboVac 30C-2DEA;EE:FA:BC:98:2D:EA;;1;No;OPN,None;No;48.0;0;12;0;0;0;0;0;;;Sat Dec  7 20:58:54 2019;Sat Dec  7 21:00:56 2019;-62;0;0;51.278530;7.228039;0.687000;24.590000;51.279091;7.229170;1.698000;24.590000;51.278530;7.229125;1.240000;0;0;0.0.0.0;
36;infrastructure;sweetHome;B4:FB:E4:DA:1B:65;;1;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Sat Dec  7 20:58:49 2019;Sat Dec  7 21:00:53 2019;-72;0;0;51.278492;7.228039;0.776000;19.512199;51.279053;7.229176;1.430000;19.512199;51.278492;7.229115;1.197000;0;0;0.0.0.0;
